Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-4,7.8625,12.0,40,0,250,112,0.16,0.158
-3,7.9658,12.0,40,0,250,112,0.16,0.158
-2,7.4715,12.0,40,0,250,112,0.16,0.158
-1,6.2922,12.0,40,0,250,112,0.16,0.158
0,5.4455,12.0,40,0,250,112,0.16,0.158
1,4.2317,12.0,40,0,250,112,0.16,0.158
2,1.9038,12.0,40,0,250,112,0.16,0.158
3,-0.8363200000000001,12.0,40,0,250,112,0.16,0.158
-8,5.7662,16.0,40,0,250,112,0.16,0.158
-7,6.4491,16.0,40,0,250,112,0.16,0.158
-6,7.1249,16.0,40,0,250,112,0.16,0.158
-5,7.4846,16.0,40,0,250,112,0.16,0.158
-4,7.7734,16.0,40,0,250,112,0.16,0.158
-3,7.9363,16.0,40,0,250,112,0.16,0.158
-2,7.6349,16.0,40,0,250,112,0.16,0.158
-1,7.0059,16.0,40,0,250,112,0.16,0.158
0,6.2971,16.0,40,0,250,112,0.16,0.158
1,4.3096,16.0,40,0,250,112,0.16,0.158
2,3.0525,16.0,40,0,250,112,0.16,0.158
3,1.4243,16.0,40,0,250,112,0.16,0.158
-8,5.6211,20.0,40,0,250,112,0.16,0.158
-7,6.363,20.0,40,0,250,112,0.16,0.158
-6,6.8453,20.0,40,0,250,112,0.16,0.158
-5,7.3189,20.0,40,0,250,112,0.16,0.158
-4,7.7903,20.0,40,0,250,112,0.16,0.158
-3,7.8507,20.0,40,0,250,112,0.16,0.158
-2,7.7819,20.0,40,0,250,112,0.16,0.158
-1,7.2788,20.0,40,0,250,112,0.16,0.158
0,6.6426,20.0,40,0,250,112,0.16,0.158
1,4.9959,20.0,40,0,250,112,0.16,0.158
2,3.0273,20.0,40,0,250,112,0.16,0.158
3,1.7103,20.0,40,0,250,112,0.16,0.158
-8,5.5452,24.0,40,0,250,112,0.16,0.158
-7,6.0478,24.0,40,0,250,112,0.16,0.158
